date,hour,visitors,tickets_online,tickets_offline,revenue_tickets,revenue_gastro,revenue_parking,facility_zone,notes
2025-10-29,20,35,18,17,1371.22,521.72,136.25,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-30,9,34,17,17,1329.06,716.0,178.56,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-30,10,47,24,23,1542.04,1080.53,313.97,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-30,11,53,27,26,2415.69,600.4,261.19,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-30,12,45,23,22,1593.9,657.66,125.69,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-30,13,40,20,20,1449.73,799.08,191.0,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-30,14,70,36,34,2713.77,1568.17,523.4,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-30,15,44,22,22,1516.98,578.77,323.12,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-30,16,45,23,22,1857.01,746.58,280.79,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-30,17,48,24,24,1922.19,1005.03,157.78,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-30,18,39,20,19,1847.53,394.74,133.74,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-30,19,29,15,14,1037.13,309.67,201.59,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-30,20,30,15,15,1078.18,519.7,167.91,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-31,9,29,15,14,1170.57,640.49,102.12,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-31,10,40,20,20,1738.36,493.66,179.16,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-31,11,39,20,19,1445.29,761.52,111.65,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-31,12,43,22,21,1691.3,988.07,321.66,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-31,13,58,30,28,2102.11,1279.81,400.45,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-31,14,58,30,28,2671.96,822.06,190.75,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-31,15,59,30,29,2465.42,1346.45,340.42,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-31,16,40,20,20,1285.01,817.58,159.88,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-31,17,35,18,17,1195.2,371.56,106.23,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-31,18,28,14,14,1143.84,358.76,154.68,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-31,19,34,17,17,1433.03,431.66,168.05,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-31,20,30,15,15,1394.56,625.36,88.84,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-01,9,46,28,18,1474.61,910.6,261.54,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-01,10,57,35,22,2062.9,1104.5,299.73,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-01,11,60,37,23,1992.23,1281.81,421.18,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-01,12,71,44,27,2891.79,1468.59,384.29,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-01,13,82,50,32,3028.43,1770.03,531.41,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-01,14,87,53,34,3982.1,1877.89,308.88,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-01,15,79,48,31,3514.07,1688.85,358.02,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-01,16,75,46,29,3144.79,837.28,536.21,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-01,17,75,46,29,3372.93,1600.49,196.79,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-01,18,41,25,16,1795.19,559.67,293.32,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-01,19,55,34,21,2473.46,700.44,354.03,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-01,20,38,23,15,1281.72,805.99,258.13,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-02,9,42,26,16,1653.32,557.45,272.02,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-02,10,53,32,21,1889.0,494.56,183.68,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-02,11,43,26,17,2041.22,555.03,245.42,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-02,12,68,42,26,2610.85,1546.05,352.31,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-02,13,67,41,26,3184.27,770.5,489.95,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-02,14,64,39,25,2319.84,673.13,299.06,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-02,15,62,38,24,2585.36,1001.92,274.41,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-02,16,50,31,19,2061.27,628.31,302.2,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-02,17,62,38,24,2518.14,1182.47,385.0,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-02,18,43,26,17,1837.39,606.26,122.54,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-02,19,38,23,15,1406.86,793.14,231.75,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-02,20,35,21,14,1288.18,466.55,158.97,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-03,9,30,15,15,1021.1,446.59,216.05,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-03,10,37,19,18,1584.97,800.65,206.37,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-03,11,37,19,18,1184.24,481.62,172.03,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-03,12,51,26,25,2105.27,926.46,246.07,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-03,13,47,24,23,1859.84,1015.98,304.57,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-03,14,54,28,26,1874.61,550.11,274.17,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-03,15,47,24,23,2119.45,917.25,275.61,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-03,16,41,21,20,1459.36,483.3,107.51,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-03,17,39,20,19,1778.24,390.76,178.32,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-03,18,39,20,19,1640.97,457.16,233.29,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-03,19,29,15,14,1232.41,263.25,181.39,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-03,20,31,16,15,1373.94,325.26,143.4,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-04,9,29,15,14,1168.33,281.39,108.63,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-04,10,35,18,17,1595.07,538.67,227.75,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-04,11,25,13,12,1038.18,557.51,173.93,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-04,12,24,12,12,1003.26,457.68,120.57,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-04,13,43,22,21,1993.28,834.68,209.56,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-04,14,36,18,18,1301.29,448.61,204.78,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-04,15,41,21,20,1723.15,526.62,118.38,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-04,16,30,15,15,1097.15,384.12,122.96,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-04,17,29,15,14,1035.31,542.74,174.93,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-04,18,27,14,13,891.75,397.07,140.75,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-04,19,24,12,12,929.34,520.03,130.09,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-04,20,26,13,13,1121.34,545.85,164.53,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-05,9,25,13,12,940.7,488.72,169.18,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-05,10,28,14,14,1323.14,416.26,174.65,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-05,11,26,13,13,923.74,313.87,121.66,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-05,12,34,17,17,1103.79,466.0,200.45,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-05,13,38,19,19,1500.17,409.9,213.23,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-05,14,44,22,22,1426.98,638.72,234.17,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-05,15,47,24,23,1606.05,726.8,129.32,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-05,16,37,19,18,1408.43,442.64,152.97,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-05,17,31,16,15,1365.0,640.06,116.6,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-05,18,24,12,12,799.45,222.51,124.73,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-05,19,28,14,14,1187.26,558.24,161.25,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-05,20,25,13,12,1101.69,557.36,87.42,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-06,9,27,14,13,918.53,496.06,143.64,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-06,10,28,14,14,993.65,526.19,177.37,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-06,11,33,17,16,1450.9,349.91,217.68,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-06,12,41,21,20,1944.86,431.05,107.76,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-06,13,37,19,18,1751.24,538.47,224.78,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-06,14,49,25,24,1627.58,914.76,276.17,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-06,15,47,24,23,2143.42,818.07,145.95,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-06,16,40,20,20,1909.66,798.28,169.44,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-06,17,28,14,14,1122.67,385.76,188.94,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-06,18,29,15,14,1309.56,303.85,211.81,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-06,19,22,11,11,952.97,332.13,135.72,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-06,20,20,10,10,948.95,255.62,130.82,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-07,9,22,11,11,857.32,423.16,84.52,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-07,10,26,13,13,1186.31,536.39,76.27,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-07,11,33,17,16,1301.37,578.97,145.03,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-07,12,33,17,16,1071.15,690.14,112.5,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-07,13,42,21,21,1572.71,895.63,252.25,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-07,14,51,26,25,1857.44,466.25,369.26,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-07,15,47,24,23,1871.41,921.87,279.79,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-07,16,39,20,19,1651.04,618.99,252.12,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-07,17,33,17,16,1421.26,438.47,178.46,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-07,18,29,15,14,1147.59,476.55,134.2,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-07,19,25,13,12,1081.14,319.82,93.93,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-07,20,22,11,11,746.47,257.32,68.15,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-08,9,32,19,13,1118.8,384.94,157.47,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-08,10,41,25,16,1787.33,929.57,210.05,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-08,11,48,29,19,1685.08,584.87,163.07,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-08,12,59,36,23,1901.36,972.2,228.42,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-08,13,72,44,28,3107.42,775.29,492.65,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-08,14,64,39,25,2550.66,1357.96,343.7,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-08,15,55,34,21,1922.24,534.56,396.29,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-08,16,57,35,22,2259.69,1169.05,256.7,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-08,17,56,34,22,1840.03,620.97,297.6,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-08,18,46,28,18,1695.62,1054.08,142.24,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-08,19,41,25,16,1830.73,498.54,209.63,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-08,20,32,19,13,1254.66,486.34,217.63,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-09,9,44,27,17,1845.2,771.53,272.82,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-09,10,43,26,17,2027.94,512.09,152.87,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-09,11,47,29,18,1634.71,472.39,118.13,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-09,12,53,32,21,2078.03,917.61,209.68,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-09,13,64,39,25,2767.86,982.81,379.96,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-09,14,78,48,30,3649.04,1562.31,438.77,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-09,15,54,33,21,2095.32,897.69,309.86,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-09,16,43,26,17,2000.99,884.63,122.85,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-09,17,51,31,20,2243.15,865.41,201.1,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-09,18,47,29,18,1597.51,876.15,281.94,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-09,19,46,28,18,1835.43,465.8,124.17,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-09,20,37,22,15,1439.76,499.96,138.82,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-10,9,33,17,16,1497.39,562.74,239.38,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-10,10,33,17,16,1583.77,607.59,126.97,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-10,11,38,19,19,1502.06,688.6,269.05,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-10,12,38,19,19,1326.35,653.4,215.61,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-10,13,39,20,19,1465.13,532.99,228.18,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-10,14,43,22,21,1966.12,585.54,256.64,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-10,15,38,19,19,1710.65,634.65,181.42,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-10,16,47,24,23,1740.52,635.71,345.49,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-10,17,28,14,14,1338.68,509.8,145.96,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-10,18,30,15,15,1158.36,348.78,129.27,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-10,19,26,13,13,1148.16,308.1,136.4,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-10,20,21,10,11,983.7,317.81,125.82,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-11,9,33,17,16,1377.48,407.56,108.63,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-11,10,35,18,17,1428.47,585.6,103.81,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-11,11,41,21,20,1614.71,436.43,273.09,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-11,12,36,18,18,1439.06,685.17,181.6,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-11,13,40,20,20,1907.36,496.49,210.25,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-11,14,53,27,26,2021.28,1161.03,267.18,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-11,15,49,25,24,1784.58,982.94,224.16,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-11,16,31,16,15,1455.39,499.36,204.69,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-11,17,31,16,15,1283.12,712.52,153.39,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-11,18,31,16,15,1065.7,512.74,130.99,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-11,19,23,11,12,903.57,310.61,79.2,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-11,20,24,12,12,1035.84,408.12,88.03,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-12,9,27,14,13,1185.71,509.58,177.04,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-12,10,28,14,14,1068.96,512.17,184.9,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-12,11,37,19,18,1205.92,593.19,201.68,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-12,12,37,19,18,1698.86,785.83,173.96,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-12,13,36,18,18,1568.13,530.63,207.86,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-12,14,43,22,21,1482.2,669.63,315.88,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-12,15,38,19,19,1611.1,795.14,256.94,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-12,16,43,22,21,1967.23,615.77,175.58,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-12,17,31,16,15,1424.7,294.58,88.11,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-12,18,23,11,12,968.27,503.54,172.2,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-12,19,27,14,13,906.53,482.56,185.3,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-12,20,23,11,12,899.27,430.47,161.39,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-13,9,33,17,16,1210.9,470.18,106.52,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-13,10,31,16,15,1255.46,524.61,200.34,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-13,11,34,17,17,1561.74,600.98,125.94,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-13,12,40,20,20,1864.21,440.15,192.23,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-13,13,43,22,21,1382.47,871.39,301.26,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-13,14,49,25,24,2099.25,549.37,230.72,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-13,15,39,20,19,1646.7,582.67,146.27,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-13,16,43,22,21,1957.57,506.93,190.21,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-13,17,30,15,15,1234.52,511.42,223.9,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-13,18,29,15,14,1064.99,658.05,167.94,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-13,19,27,14,13,1160.27,524.48,74.12,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-13,20,30,15,15,1251.08,478.63,210.62,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-14,9,26,13,13,1084.54,362.24,147.76,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-14,10,36,18,18,1509.63,665.59,219.77,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-14,11,29,15,14,1219.51,627.78,166.22,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-14,12,31,16,15,1145.23,470.32,167.33,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-14,13,43,22,21,1579.04,836.98,145.26,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-14,14,43,22,21,1466.93,711.72,316.37,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-14,15,32,16,16,1449.2,403.12,211.95,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-14,16,36,18,18,1429.54,730.47,224.38,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-14,17,32,16,16,1517.0,351.06,234.64,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-14,18,31,16,15,1418.63,593.31,229.39,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-11-14,19,33,17,16,1249.13,662.3,84.8,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
