date,venue_slug,visitors,visitors_low,visitors_base,visitors_high,weather_risk,forecast_confidence,demand_signal_score,trend_signal_score,event_impact_score,holiday_impact_score,seasonality_score,weather_impact_score,notes,is_calibrated_demo
2022-01-19,aquapark_fala,2054,1725,2054,2383,medium,0.72,41.17,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-20,aquapark_fala,2205,1852,2205,2558,medium,0.72,42.37,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-21,aquapark_fala,2606,2189,2606,3023,medium,0.72,45.57,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-22,aquapark_fala,3705,3112,3705,4298,medium,0.72,53.77,54.0,0.0,2.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-23,aquapark_fala,4038,3392,4038,4684,medium,0.72,56.37,54.0,0.0,2.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-24,aquapark_fala,1954,1641,1954,2267,medium,0.72,40.37,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-25,aquapark_fala,1954,1641,1954,2267,medium,0.72,40.37,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-26,aquapark_fala,2054,1725,2054,2383,medium,0.72,41.17,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-27,aquapark_fala,2205,1852,2205,2558,medium,0.72,42.37,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-28,aquapark_fala,2606,2189,2606,3023,medium,0.72,45.57,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-29,aquapark_fala,3705,3112,3705,4298,medium,0.72,53.77,54.0,0.0,2.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-30,aquapark_fala,4038,3392,4038,4684,medium,0.72,56.37,54.0,0.0,2.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-31,aquapark_fala,1954,1641,1954,2267,medium,0.72,40.37,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-01,aquapark_fala,2578,2166,2578,2990,medium,0.72,42.33,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-02,aquapark_fala,2710,2276,2710,3144,medium,0.72,43.13,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-03,aquapark_fala,2909,2444,2909,3374,medium,0.72,44.33,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-04,aquapark_fala,3438,2888,3438,3988,medium,0.72,47.53,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-05,aquapark_fala,4880,4099,4880,5661,medium,0.72,55.73,54.0,0.0,12.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-06,aquapark_fala,5317,4466,5317,6168,medium,0.72,58.33,54.0,0.0,12.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-07,aquapark_fala,2578,2166,2578,2990,medium,0.72,42.33,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-08,aquapark_fala,2578,2166,2578,2990,medium,0.72,42.33,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-09,aquapark_fala,2710,2276,2710,3144,medium,0.72,43.13,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-10,aquapark_fala,2909,2444,2909,3374,medium,0.72,44.33,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-11,aquapark_fala,3438,2888,3438,3988,medium,0.72,47.53,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-12,aquapark_fala,4880,4099,4880,5661,medium,0.72,55.73,54.0,0.0,12.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-13,aquapark_fala,5317,4466,5317,6168,medium,0.72,58.33,54.0,0.0,12.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-14,aquapark_fala,2578,2166,2578,2990,medium,0.72,42.33,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-15,aquapark_fala,2578,2166,2578,2990,medium,0.72,42.33,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-16,aquapark_fala,2710,2276,2710,3144,medium,0.72,43.13,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-17,aquapark_fala,2909,2444,2909,3374,medium,0.72,44.33,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-18,aquapark_fala,3438,2888,3438,3988,medium,0.72,47.53,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-19,aquapark_fala,4880,4099,4880,5661,medium,0.72,55.73,54.0,0.0,12.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-20,aquapark_fala,5317,4466,5317,6168,medium,0.72,58.33,54.0,0.0,12.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-21,aquapark_fala,2578,2166,2578,2990,medium,0.72,42.33,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-22,aquapark_fala,2578,2166,2578,2990,medium,0.72,42.33,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-23,aquapark_fala,2710,2276,2710,3144,medium,0.72,43.13,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-24,aquapark_fala,2909,2444,2909,3374,medium,0.72,44.33,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-25,aquapark_fala,3438,2888,3438,3988,medium,0.72,47.53,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-26,aquapark_fala,4880,4099,4880,5661,medium,0.72,55.73,54.0,0.0,12.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-27,aquapark_fala,5317,4466,5317,6168,medium,0.72,58.33,54.0,0.0,12.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-02-28,aquapark_fala,2578,2166,2578,2990,medium,0.72,42.33,54.0,0.0,10.0,17.39,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-01,aquapark_fala,1764,1482,1764,2046,medium,0.72,38.27,48.0,0.0,0.0,13.04,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-02,aquapark_fala,2131,1918,2131,2344,low,0.82,39.07,48.0,0.0,0.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-03,aquapark_fala,2287,2058,2287,2516,low,0.82,40.27,48.0,0.0,0.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-04,aquapark_fala,2352,1976,2352,2728,medium,0.72,43.47,48.0,0.0,0.0,13.04,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-05,aquapark_fala,3844,3460,3844,4228,low,0.82,51.67,48.0,0.0,2.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-06,aquapark_fala,3645,3062,3645,4228,medium,0.72,54.27,48.0,0.0,2.0,13.04,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-07,aquapark_fala,2027,1824,2027,2230,low,0.82,38.27,48.0,0.0,0.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-08,aquapark_fala,2027,1824,2027,2230,low,0.82,38.27,48.0,0.0,0.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-09,aquapark_fala,1855,1558,1855,2152,medium,0.72,39.07,48.0,0.0,0.0,13.04,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-10,aquapark_fala,2287,2058,2287,2516,low,0.82,40.27,48.0,0.0,0.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-11,aquapark_fala,2703,2433,2703,2973,low,0.82,43.47,48.0,0.0,0.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-12,aquapark_fala,3345,2810,3345,3880,medium,0.72,51.67,48.0,0.0,2.0,13.04,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-13,aquapark_fala,4188,3769,4188,4607,low,0.82,54.27,48.0,0.0,2.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-14,aquapark_fala,1764,1482,1764,2046,medium,0.72,38.27,48.0,0.0,0.0,13.04,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-15,aquapark_fala,2027,1824,2027,2230,low,0.82,38.27,48.0,0.0,0.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-16,aquapark_fala,2131,1918,2131,2344,low,0.82,39.07,48.0,0.0,0.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-17,aquapark_fala,1990,1672,1990,2308,medium,0.72,40.27,48.0,0.0,0.0,13.04,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-18,aquapark_fala,2703,2433,2703,2973,low,0.82,43.47,48.0,0.0,0.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-19,aquapark_fala,3844,3460,3844,4228,low,0.82,51.67,48.0,0.0,2.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-20,aquapark_fala,3645,3062,3645,4228,medium,0.72,54.27,48.0,0.0,2.0,13.04,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-21,aquapark_fala,2027,1824,2027,2230,low,0.82,38.27,48.0,0.0,0.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-22,aquapark_fala,2027,1824,2027,2230,low,0.82,38.27,48.0,0.0,0.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-23,aquapark_fala,1855,1558,1855,2152,medium,0.72,39.07,48.0,0.0,0.0,13.04,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-24,aquapark_fala,2287,2058,2287,2516,low,0.82,40.27,48.0,0.0,0.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-25,aquapark_fala,2352,1976,2352,2728,medium,0.72,43.47,48.0,0.0,0.0,13.04,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-26,aquapark_fala,3844,3460,3844,4228,low,0.82,51.67,48.0,0.0,2.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-27,aquapark_fala,4188,3769,4188,4607,low,0.82,54.27,48.0,0.0,2.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-28,aquapark_fala,1764,1482,1764,2046,medium,0.72,38.27,48.0,0.0,0.0,13.04,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-29,aquapark_fala,2027,1824,2027,2230,low,0.82,38.27,48.0,0.0,0.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-30,aquapark_fala,2131,1918,2131,2344,low,0.82,39.07,48.0,0.0,0.0,13.04,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-03-31,aquapark_fala,1990,1672,1990,2308,medium,0.72,40.27,48.0,0.0,0.0,13.04,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-01,aquapark_fala,3026,2723,3026,3329,low,0.82,45.43,48.0,0.0,0.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-02,aquapark_fala,3745,3146,3745,4344,medium,0.72,53.63,48.0,0.0,2.0,17.39,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-03,aquapark_fala,4688,4219,4688,5157,low,0.82,56.23,48.0,0.0,2.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-04,aquapark_fala,2269,2042,2269,2496,low,0.82,40.23,48.0,0.0,0.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-05,aquapark_fala,1975,1659,1975,2291,medium,0.72,40.23,48.0,0.0,0.0,17.39,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-06,aquapark_fala,2386,2147,2386,2625,low,0.82,41.03,48.0,0.0,0.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-07,aquapark_fala,2560,2304,2560,2816,low,0.82,42.23,48.0,0.0,0.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-08,aquapark_fala,2633,2212,2633,3054,medium,0.72,45.43,48.0,0.0,0.0,17.39,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-09,aquapark_fala,4303,3873,4303,4733,low,0.82,53.63,48.0,0.0,2.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-10,aquapark_fala,4081,3428,4081,4734,medium,0.72,56.23,48.0,0.0,2.0,17.39,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-11,aquapark_fala,2269,2042,2269,2496,low,0.82,40.23,48.0,0.0,0.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-12,aquapark_fala,2269,2042,2269,2496,low,0.82,40.23,48.0,0.0,0.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-13,aquapark_fala,2076,1744,2076,2408,medium,0.72,41.03,48.0,0.0,0.0,17.39,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-14,aquapark_fala,2560,2304,2560,2816,low,0.82,42.23,48.0,0.0,0.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-15,aquapark_fala,3026,2723,3026,3329,low,0.82,45.43,48.0,0.0,0.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-16,aquapark_fala,3745,3146,3745,4344,medium,0.72,53.63,48.0,0.0,2.0,17.39,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-17,aquapark_fala,4688,4219,4688,5157,low,0.82,56.23,48.0,0.0,2.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-18,aquapark_fala,2269,2042,2269,2496,low,0.82,40.23,48.0,0.0,0.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-19,aquapark_fala,1975,1659,1975,2291,medium,0.72,40.23,48.0,0.0,0.0,17.39,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-20,aquapark_fala,2386,2147,2386,2625,low,0.82,41.03,48.0,0.0,0.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-21,aquapark_fala,2228,1872,2228,2584,medium,0.72,42.23,48.0,0.0,0.0,17.39,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-22,aquapark_fala,3026,2723,3026,3329,low,0.82,45.43,48.0,0.0,0.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-23,aquapark_fala,4303,3873,4303,4733,low,0.82,53.63,48.0,0.0,2.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-24,aquapark_fala,4081,3428,4081,4734,medium,0.72,56.23,48.0,0.0,2.0,17.39,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-25,aquapark_fala,2269,2042,2269,2496,low,0.82,40.23,48.0,0.0,0.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-26,aquapark_fala,2269,2042,2269,2496,low,0.82,40.23,48.0,0.0,0.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-27,aquapark_fala,2076,1744,2076,2408,medium,0.72,41.03,48.0,0.0,0.0,17.39,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-28,aquapark_fala,2560,2304,2560,2816,low,0.82,42.23,48.0,0.0,0.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-29,aquapark_fala,2633,2212,2633,3054,medium,0.72,45.43,48.0,0.0,0.0,17.39,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-04-30,aquapark_fala,4303,3873,4303,4733,low,0.82,53.63,48.0,0.0,2.0,17.39,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-05-01,aquapark_fala,6679,6011,6679,7347,low,0.82,62.09,48.0,0.0,22.0,30.43,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-05-02,aquapark_fala,2352,1976,2352,2728,medium,0.72,46.09,48.0,0.0,0.0,30.43,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-05-03,aquapark_fala,3297,2967,3297,3627,low,0.82,46.09,48.0,0.0,22.0,30.43,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-05-04,aquapark_fala,2841,2557,2841,3125,low,0.82,46.89,48.0,0.0,0.0,30.43,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-05-05,aquapark_fala,2654,2229,2654,3079,medium,0.72,48.09,48.0,0.0,0.0,30.43,-6.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-05-06,aquapark_fala,3604,3244,3604,3964,low,0.82,51.29,48.0,0.0,0.0,30.43,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-05-07,aquapark_fala,5125,4612,5125,5638,low,0.82,59.49,48.0,0.0,2.0,30.43,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-05-08,aquapark_fala,5584,5026,5584,6142,low,0.82,62.09,48.0,0.0,2.0,30.43,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-05-09,aquapark_fala,2703,2433,2703,2973,low,0.82,46.09,48.0,0.0,0.0,30.43,8.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
